"","name","addr","lat","long"
"1",1,"Alabama",32.31823,-86.9023
"2",2,"Alaska",66.16051,-153.36914
"3",4,"Arizona",34.04893,-111.09373
"4",5,"Arkansas",34.8,-92.2
"5",6,"California",36.77826,-119.41793
"6",8,"Colorado",39.11301,-105.35889
"7",9,"Connecticut",41.6,-72.7
"8",10,"Delaware",27.9944,-81.76025
"9",11,"District of Columbia",38.94214,-77.02595
"10",12,"Florida",27.9944,-81.76025
"11",13,"Georgia",33.24788,-83.44116
"12",15,"Hawaii",19.74176,-155.84444
"13",16,"Idaho",44.0682,-114.74204
"14",17,"Illinois",40,-89
"15",18,"Indiana",40.2735,-86.12698
"16",19,"Iowa",42.03297,-93.58154
"17",20,"Kansas",38.5,-98
"18",21,"Kentucky",37.83933,-84.27002
"19",22,"Louisiana",30.39183,-92.3291
"20",23,"Maine",45.36758,-68.97217
"21",24,"Maryland",39.04575,-76.64127
"22",25,"Massachusetts",42.40721,-71.38244
"23",26,"Michigan",44.18221,-84.50684
"24",27,"Minnesota",46.39241,-94.63623
"25",28,"Mississippi",33,-90
"26",29,"Missouri",38.57394,-92.60376
"27",30,"Montana",46.96526,-109.53369
"28",31,"Nebraska",41.5,-100
"29",32,"Nevada",39.87602,-117.22412
"30",33,"New Hampshire",44,-71.5
"31",34,"New Jersey",39.83385,-74.87183
"32",35,"New Mexico",34.30714,-106.01807
"33",36,"New York",43,-75
"34",37,"North Carolina",35.78217,-80.79346
"35",38,"North Dakota",47.65059,-100.43701
"36",39,"Ohio",40.36747,-82.99622
"37",40,"Oklahoma",36.08462,-96.92139
"38",41,"Oregon",44,-120.5
"39",42,"Pennsylvania",41.20332,-77.19453
"40",44,"Rhode Island",41.74233,-71.74233
"41",45,"South Carolina",33.83608,-81.16373
"42",46,"South Dakota",44.5,-100
"43",47,"Tennessee",35.86012,-86.66016
"44",48,"Texas",31,-100
"45",49,"Utah",39.41922,-111.95068
"46",50,"Vermont",44,-72.7
"47",51,"Virginia",37.92687,-78.0249
"48",53,"Washington",47.75108,-120.74013
"49",54,"West Virginia",39,-80.5
"50",55,"Wisconsin",44.5,-89.5
"51",56,"Wyoming",43.07597,-107.29028
"52",60,"Puerto Rico and Island Areas",18.46633,-66.10572
